treatmentstring,n,category,group
cardiovascular|cardiac surgery|artificial heart implantation,3,,
cardiovascular|other therapies|antibacterials|sulfonamide,3,,
renal|medications|analgesics|continuous parenteral analgesics,3,,
toxicology|drug overdose|agent specific therapy|carbon monoxide,3,,
hematology|transplant and immunology|hematopoietic growth factors|sargramostim (Leukine ),3,,
oncology|medications|analgesics|non-narcotoc analgesic,3,,
pulmonary|medications|anticoagulant administration|thrombin inhibitors,3,,
infectious diseases|medications|anti-protozoal therapy|for toxoplasma|sulfadiazine,3,,
toxicology|drug overdose|agent specific therapy|cocaine overdose|anticonvulsant|pentobarbital,3,,
cardiovascular|ventricular dysfunction|angiotensin II receptor blocker (ARB)|telmisartan,3,,
hematology|white blood cell disorders|systemic glucocorticoid|stress doses,3,,
renal|medications|analgesics|non-narcotic analgesic|ketorolac,3,,
infectious diseases|medications|therapeutic antibacterials|Synercid (quinupristin/dalfopristin),3,,
surgery|cardiac therapies|glycoprotein IIb/IIIa inhibitor,3,,
endocrine|pituitary and temperature regulation|pituitary hormone replacement|TSH,3,,
surgery|cardiac therapies|glycoprotein IIb/IIIa inhibitor|tirofiban,3,,
renal|procedures/radiology|kidney biopsy|right,3,,
surgery|intravenous fluids / electrolytes|blood product administration|coagulation factors,3,,
toxicology|drug overdose|agent specific therapy|theophylline overdose,3,,
renal|intravenous fluid|blood product administration|coagulation factors,3,,
endocrine|electrolyte correction|treatment of hyponatremia|fluid restriction|500-1000 ml,3,,
surgery|infection|therapeutic antibacterials|macrolide|erythromycin,3,,
cardiovascular|arrhythmias|antiarrhythmics|class II antiarrhythmic|acebutolol,3,,
gastrointestinal|medications|antiemetic|anticholinergic|cyclizine,3,,
cardiovascular|hypertension|analgesics|non-narcotic analgesic|celecoxib,3,,
surgery|seizure therapy|anticonvulsant|carbamazepine,3,,
cardiovascular|ventricular dysfunction|ACE inhibitor|quinapril,3,,
cardiovascular|other therapies|antibacterials|first generation cephalosporin,3,,
hematology|coagulation and platelets|blood product administration|packed red blood cells|transfusion of  0 negative prbc's,3,,
cardiovascular|myocardial ischemia / infarction|antihyperlipidemic agent|HMG-CoA reductase inhibitor|fluvastatin,3,,
infectious diseases|procedures|microscopical examination|AFB stain,3,,
hematology|oncological issues|tissue biopsy|lymph node,3,,
endocrine|pituitary and temperature regulation|active core rewarming|heated humidified oxygen,3,,
renal|procedures/radiology|kidney biopsy|open,3,,
endocrine|electrolyte correction|treatment of hyperphosphatemia,3,,
infectious diseases|medications|therapeutic antibacterials|penicillins|penicllin G benzathine,3,,
surgery|cardiac therapies|inotropic agent|dopamine >15 micrograms/kg/min,3,,
surgery|cardiac therapies|ACE inhibitor|enalapril|IV,3,,
cardiovascular|myocardial ischemia / infarction|angiotensin II receptor blocker (ARB)|candesartan,3,,
renal|dialysis|peritoneal dialysis|with cannula placement,3,,
pulmonary|medications|pneumocystis therapy|pentamidine,3,,
surgery|infection|therapeutic antibacterials|first generation cephalosporin,3,,
surgery|infection|therapeutic antibacterials|penicillins|ticarcillin/potassium clavulanate,3,,
surgery|infection|therapeutic antibacterials|third generation cephalosporin,3,,
pulmonary|medications|antibacterials|penicillins|penicllin G benzathine & procaine,3,,
toxicology|drug overdose|agent specific therapy|acetaminophen overdose|serotonin antagonists,3,,
gastrointestinal|medications|stress ulcer prophylaxis|rabeprazole,3,,
cardiovascular|myocardial ischemia / infarction|analgesics|neuraxial analgesics,3,,
cardiovascular|ventricular dysfunction|beta blocker|propranolol,3,,
pulmonary|radiologic procedures / bronchoscopy|bronchoscopy|with drainage of lung abscess,3,,
infectious diseases|medications|anti-protozoal therapy|for malaria|quinine,3,,
infectious diseases|medications|therapeutic antibacterials|third generation cephalosporin|ceftibuten,3,,
pulmonary|medications|antibacterials|third generation cephalosporin|cefpodoxime,3,,
burns/trauma|intravenous fluids|colloid administration|dextran,3,,
gastrointestinal|intravenous fluid administration|blood product administration|packed red blood cells|transfusion of  0 negative prbc's,3,,
surgery|immunosuppressives|glucocorticoid administration|oral,3,,
surgery|cardiac therapies|oral diuretic|thiazides,3,,
surgery|pulmonary therapies|CPAP/PEEP therapy|> 15 cm H2O,3,,
toxicology|drug overdose|non-invasive ventilation|face mask,3,,
renal|intravenous fluid|fluid restriction|> 2000 ml,3,,
surgery|infection|cultures|urine|voided,3,,
cardiovascular|other therapies|non-steroidal anti-inflammatory agent|ibuprofen,3,,
surgery|pulmonary therapies|oxygen therapy (40% to 60%)|non-rebreather mask,3,,
endocrine|electrolyte correction|treatment of hyponatremia|fluid restriction|1500-2000 ml,3,,
endocrine|diagnostic studies|CT scan|head,3,,
endocrine|electrolyte correction|treatment of hypercalcemia|glucocorticoids,3,,
toxicology|drug overdose|vasopressors|dopamine >15 micrograms/kg/min,3,,
surgery|tubes and catheters|nasogastric tube|with continuous irrigation,3,,
renal|medications|antifungal therapy|amphotericin B bladder irrigation,3,,
surgery|cardiac therapies|beta blocker|propranolol,3,,
surgery|infection|therapeutic antibacterials|third generation cephalosporin|ceftazidime,3,,
pulmonary|medications|antibacterials|aminoglycoside|amikacin,2,,
gastrointestinal|medications|immunoregulatory agents|cyclosporine,2,,
cardiovascular|other therapies|cyclophosphamide,2,,
toxicology|drug overdose|mechanical ventilation|permissive hypercapnea,2,,
surgery|tubes and catheters|insertion of gastric balloon,2,,
surgery|pulmonary therapies|oxygen therapy (> 60%)|60-70%,2,,
cardiovascular|arrhythmias|beta blocker|pindolol,2,,
surgery|analgesics /sedatives/ nmbs|analgesics|non-narcotic analgesic|naproxen,2,,
infectious diseases|medications|therapeutic antibacterials|second generation cephalosporin|cefotetan,2,,
infectious diseases|medications|antimycobacterial therapy|M avium complex|rifampin,2,,
infectious diseases|medications|prophylactic antibacterials|for endocarditis|aminoglycoside,2,,
infectious diseases|medications|anti-protozoal therapy|for toxoplasma|pyrimethamine,2,,
hematology|red blood cell disorders|blood product administration|coagulation factors,2,,
surgery|GI therapies|stress ulcer treatment|proton pump inhibitor|lansoprazole,2,,
endocrine|intravenous fluid administration|blood product administration|packed red blood cells|transfusion of 1-2 units prbc's,2,,
neurologic|ICH/ cerebral infarct|thrombolytics|streptokinase,2,,
surgery|seizure therapy|anticonvulsant|lorazepam,2,,
endocrine|intravenous fluid administration|fluid restriction|< 500 ml,2,,
surgery|cardiac therapies|intravenous diuretic|bumetanide,2,,
gastrointestinal|medications|immunoregulatory agents|mercaptopurine,2,,
neurologic|ICH/ cerebral infarct|oral diuretic|potassium sparing,2,,
surgery|infection|therapeutic antibacterials|fourth generation cephalosporin,2,,
surgery|pulmonary therapies|oxygen therapy (< 40%)|non-rebreather mask,2,,
surgery|nutrition|parenteral feeds|PPN,2,parenteral-intake,nutrition-parenteral
toxicology|drug overdose|agent specific therapy|tricyclic overdose|implantation of heart pacemaker|temporary,2,,
surgery|pulmonary therapies|oxygen therapy (> 60%)|70-80%,2,,
endocrine|pituitary and temperature regulation|dopamine agonist|somatostatin,2,,
cardiovascular|hypertension|analgesics|non-narcotic analgesic|indomethacin,2,,
cardiovascular|arrhythmias|antiarrhythmics|class I antiarrhythmic|tocainide,2,,
surgery|pulmonary therapies|CPAP/PEEP therapy|10-15 cm H2O,2,,
toxicology|drug overdose|agent specific therapy|digoxin overdose/toxicity,2,,
cardiovascular|other therapies|antibacterials|penicillins|oxacillin,2,,
surgery|pulmonary therapies|oxygen therapy (> 60%)|80-90%,2,,
surgery|pulmonary therapies|oxygen therapy (< 40%)|face tent,2,,
endocrine|pituitary and temperature regulation|active core rewarming|heating pads,2,,
endocrine|electrolyte correction|treatment of hyperkalemia|parenteral beta-agonist,2,,
infectious diseases|procedures|ultrasonography|chest,2,,
gastrointestinal|intravenous fluid administration|colloid administration|hydroxyethylstarch,2,,
infectious diseases|medications|anti-protozoal therapy|for strongyloides|ivermectin,2,,
neurologic|pain / agitation / altered mentation|antidepressant|desipramine,2,,
surgery|infection|antifungal therapy|caspofungin,2,,
toxicology|drug overdose|agent specific therapy|theophylline overdose|anticonvulsant|phenobarbital,2,,
cardiovascular|vascular disorders|thrombolytic agent|streptokinase,2,,
surgery|seizure therapy|anticonvulsant|fosphenytoin,2,,
endocrine|electrolyte correction|treatment of hyponatremia|fluid restriction|< 500 ml/24 hours,2,,
neurologic|therapy for controlling cerebral perfusion pressure|lidocaine|bolus 1-1.5 mg/kg,2,,
toxicology|drug overdose|mechanical ventilation|synchronized intermittent,2,,
surgery|immunosuppressives|immunosuppressive therapy|sirolimus,2,,
hematology|oncological issues|analgesics|non-narcotic analgesic|celecoxib,2,,
infectious diseases|medications|activated protein c / drotrecogin alfa (Xigris),2,,
hematology|transplant and immunology|bone marrow transplantation,2,,
burns/trauma|burns|analgesics|non-narcotic analgesic,2,,
surgery|nutrition|parenteral feeds|intralipid,2,parenteral-intake,nutrition-parenteral
neurologic|ICH/ cerebral infarct|intravenous diuretic|chlorothiazide,2,,
cardiovascular|myocardial ischemia / infarction|beta blocker|bisoprolol,2,,
toxicology|drug overdose|vasopressors|epinephrine <= 0.1 micrograms/kg/min,2,,
hematology|oncological issues|analgesics|non-narcotic analgesic|acetaminophen,2,,
pulmonary|medications|antibacterials|monobactam,2,,
hematology|oncological issues|analgesics|bolus parenteral analgesics,2,,
pulmonary|surgery / incision and drainage of thorax|repair of bronchus or trachea|bronchopleural fistula,2,,
cardiovascular|other therapies|non-steroidal anti-inflammatory agent|indomethacin,2,,
pulmonary|medications|antibacterials|first generation cephalosporin,2,,
toxicology|drug overdose|agent specific therapy|calcium channel blockers overdose,2,,
neurologic|ICH/ cerebral infarct|anticoagulant administration|thrombin inhibitors,2,,
burns/trauma|intravenous fluids|heparin lock IV fluids,2,,
surgery|infection|therapeutic antibacterials|macrolide|clarithromycin,2,,
cardiovascular|ventricular dysfunction|angiotensin II receptor blocker (ARB)|olmesartan,2,,
toxicology|drug overdose|colloid administration,2,,
toxicology|drug overdose|agent specific therapy|theophylline overdose|beta-blockers|carvedilol,2,,
surgery|infection|therapeutic antibacterials|macrolide,1,,
surgery|intravenous fluids / electrolytes|blood product administration|packed red blood cells|transfusion of  0 negative prbc's,1,,
cardiovascular|arrhythmias|beta blocker|carteolol,1,,
surgery|cardiac therapies|angiotensin II receptor blocker (ARB),1,,
surgery|cardiac therapies|vasodilator|nesiritide,1,,
burns/trauma|burns|analgesics|neuraxial analgesics,1,,
surgery|cardiac therapies|inotropic agent|amrinone,1,,
endocrine|intravenous fluid administration|blood product administration|packed red blood cells,1,,
endocrine|intravenous fluid administration|blood product administration|fresh frozen plasma,1,,
hematology|oncological issues|tissue biopsy|staging operation,1,,
endocrine|pituitary and temperature regulation|active external rewarming|heating pads,1,,
infectious diseases|medications|pneumocystis therapy|pentamidine,1,,
infectious diseases|medications|anti-protozoal therapy|for malaria,1,,
endocrine|pituitary and temperature regulation|active core rewarming|continuous venovenous rewarming,1,,
neurologic|pain / agitation / altered mentation|mexiletine,1,,
gastrointestinal|intravenous fluid administration|fluid restriction|1000-1500 ml,1,,
infectious diseases|medications|IVIG administration|hepatitis B virus immune globulin,1,,
renal|intravenous fluid|colloid administration|dextran,1,,
cardiovascular|other therapies|antibacterials|aminoglycoside,1,,
surgery|cardiac therapies|ACE inhibitor|quinapril,1,,
surgery|GI therapies|stress ulcer prophylaxis|proton pump inhibitor|rabeprazole,1,,
surgery|seizure therapy|anticonvulsant|midazolam,1,,
surgery|pulmonary therapies|mechanical ventilation|non-invasive ventilation|nasal mask,1,,
burns/trauma|trauma|peritoneal lavage|negative,1,,
infectious diseases|medications|anti-protozoal therapy|for toxoplasma|folinic acid,1,,
infectious diseases|medications|therapeutic antibacterials|penicillins|ticarcillin,1,,
surgery|glucose control|glucose|D5LR,1,,
surgery|infection|therapeutic antibacterials|third generation cephalosporin|cefpodoxime,1,,
renal|medications|bicarbonate|carbi-carb,1,,
neurologic|pain / agitation / altered mentation|anti-psychotic agent|droperidol,1,,
cardiovascular|hypertension|sedative agent|etomidate,1,,
pulmonary|medications|antifungal therapy|amphotericin B lipid-based,1,,
renal|medications|immunosuppressive therapy|sirolimus,1,,
cardiovascular|other therapies|antibacterials|sulfonamide|sulfasoxazole,1,,
hematology|oncological issues|analgesics|oral analgesics,1,,
gastrointestinal|medications|diuretic|thiazides,1,,
toxicology|drug overdose|agent specific therapy|cocaine overdose|anticonvulsant,1,,
infectious diseases|medications|antiretrovirals (HIV)|non-nucleoside reverse transcriptase inhibitors,1,,
pulmonary|vascular disorders|thrombolytic agent|streptokinase,1,,
endocrine|diagnostic studies|CT scan|with contrast,1,,
endocrine|diagnostic studies|CT scan|without contrast,1,,
surgery|analgesics /sedatives/ nmbs|sedative agent|etomidate,1,,
